Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
03/13/2014 08:30,US,287),,Retail Sales Ex Auto MoM,Feb,--,--,--,--,62.5664,RSTAXMOM Index
03/13/2014 08:30,US,288),,Retail Sales Ex Auto and Gas,Feb,--,--,--,--,60.177,RSTAXAG% Index
03/13/2014 08:30,US,289),,Retail Sales Control Group,Feb,--,--,--,--,9.73451,RSTAXAGM Index
03/13/2014 08:30,US,290),,Initial Jobless Claims,8-Mar,--,--,--,--,98.2301,INJCJC Index
03/13/2014 08:30,US,291),,Continuing Claims,1-Mar,--,--,--,--,68.7611,INJCSP Index
03/13/2014 08:30,US,292),,Import Price Index MoM,Feb,--,--,--,--,76.9912,IMP1CHNG Index
03/13/2014 08:30,US,293),,Import Price Index YoY,Feb,--,--,--,--,29.2035,IMP1YOY% Index
03/13/2014 09:45,US,294),,Bloomberg Consumer Comfort,9-Mar,--,--,--,--,63.7168,COMFCOMF Index
03/13/2014 10:00,US,295),,Business Inventories,Jan,--,--,--,--,38.0531,MTIBCHNG Index
03/14/2014 08:30,US,296),,PPI MoM,Feb,--,--,--,--,85.8407,PPI CHNG Index
03/14/2014 08:30,US,297),,PPI Ex Food and Energy MoM,Feb,--,--,--,--,68.6726,PXFECHNG Index
03/14/2014 08:30,US,298),,PPI YoY,Feb,--,--,--,--,68.1416,PPI YOY Index
03/14/2014 08:30,US,299),,PPI Ex Food and Energy YoY,Feb,--,--,--,--,66.3717,PPI XYOY Index
03/14/2014 09:55,US,300),,Univ. of Michigan Confidence,Mar P,--,--,--,--,92.9204,CONSSENT Index
03/17/2014 08:30,US,301),,Empire Manufacturing,Mar,--,--,--,--,81.4159,EMPRGBCI Index
03/17/2014 09:00,US,302),,Total Net TIC Flows,Jan,--,--,--,--,65.4867,FRNTTNET Index
03/17/2014 09:00,US,303),,Net Long-term TIC Flows,Jan,--,--,--,--,72.5664,FRNTTOTL Index
03/17/2014 09:15,US,304),,Industrial Production MoM,Feb,--,--,--,--,86.7257,IP CHNG Index
03/17/2014 09:15,US,305),,Capacity Utilization,Feb,--,--,--,--,60.708,CPTICHNG Index
03/17/2014 09:15,US,306),,Manufacturing (SIC) Production,Feb,--,--,--,--,6.19469,IPMGCHNG Index
03/17/2014 10:00,US,307),,NAHB Housing Market Index,Mar,--,--,--,--,41.5929,USHBMIDX Index
03/18/2014 08:30,US,308),,CPI MoM,Feb,--,--,--,--,93.8053,CPI CHNG Index
03/18/2014 08:30,US,309),,CPI Ex Food and Energy MoM,Feb,--,--,--,--,75.0442,CPUPXCHG Index
03/18/2014 08:30,US,310),,Housing Starts,Feb,--,--,--,--,88.4956,NHSPSTOT Index
03/18/2014 08:30,US,311),,CPI YoY,Feb,--,--,--,--,57.5221,CPI YOY Index
03/18/2014 08:30,US,312),,Housing Starts MoM,Feb,--,--,--,--,22.1239,NHCHSTCH Index
03/18/2014 08:30,US,313),,CPI Ex Food and Energy YoY,Feb,--,--,--,--,46.0177,CPI XYOY Index
03/18/2014 08:30,US,314),,Building Permits,Feb,--,--,--,--,61.9469,NHSPATOT Index
03/18/2014 08:30,US,315),,CPI Core Index SA,Feb,--,--,--,--,35.3982,CPUPAXFE Index
03/18/2014 08:30,US,316),,Building Permits MoM,Feb,--,--,--,--,20.354,NHCHATCH Index
03/18/2014 08:30,US,317),,CPI Index NSA,Feb,--,--,--,--,30.9735,CPURNSA Index
03/19/2014 07:00,US,318),,MBA Mortgage Applications,14-Mar,--,--,--,--,92.3077,MBAVCHNG Index
03/19/2014 08:30,US,319),,Current Account Balance,4Q,--,--,-$94.8B,--,70.7965,USCABAL Index
03/19/2014 14:00,US,320),,Fed QE3 Pace,Mar,--,--,--,--,0,TREFAMSP Index
03/19/2014 14:00,US,321),,Fed Pace of Treasury Pur,Mar,--,--,--,--,3.53982,TREFPACE Index
03/19/2014 14:00,US,322),,Fed Pace of MBS Purchases,Mar,--,--,--,--,1.76991,AMSPPACE Index
03/19/2014 14:00,US,323),,FOMC Rate Decision,19-Mar,--,--,--,--,97.3451,FDTR Index
03/20/2014 08:30,US,324),,Initial Jobless Claims,15-Mar,--,--,--,--,98.2301,INJCJC Index
